cuit,razon_social,fecha_hora_contrato_social,tipo_societario,fecha_hora_actualizacion,numero_inscripcion,dom_fiscal_provincia,dom_fiscal_localidad,dom_fiscal_calle,dom_fiscal_numero,dom_fiscal_piso,dom_fiscal_departamento,dom_fiscal_cp,dom_fiscal_estado_domicilio,dom_legal_provincia,dom_legal_localidad,dom_legal_calle,dom_legal_numero,dom_legal_piso,dom_legal_departamento,dom_legal_cp,dom_legal_estado_domicilio,actividad_codigo,actividad_descripcion,actividad_orden,actividad_estado,actividad_vigencia
30500049843,ATALAYA SEGUROS EN GENERAL S A,1945-12-21-00:00,SOCIEDAD ANONIMA,2024-01-01-09:29,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SUIPACHA,268,01,, 1008,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SUIPACHA,268,01,, 1008,NO CONFIRMADO,,,,,
30500049916,COMPAÑIA DE SEGUROS EUROAMERICA S A,1947-03-25-00:00,SOCIEDAD ANONIMA,2024-01-13-06:45,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,585,3,, 1003,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,585,3,, 1003,DECLARADO,,,,,
30500050000,WARRANTY INSURANCE COMPANY ARGENTINA DE SEGUROS S.A.,1947-03-27-00:00,SOCIEDAD ANONIMA,2024-11-01-18:45,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MANSO JUANA,555,8,C, 1107,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MANSO JUANA,555,8,C, 1107,DECLARADO POR INTERNET,,,,,
30500050310,SEGUROS BERNARDINO RIVADAVIA COOPERATIVA LIMITADA,1946-04-01-00:00,COOPERATIVA,2024-01-01-10:52,,BUENOS AIRES,LA PLATA NOROESTE CALLE 50,7,755,,, 1900,CONFIRMADO,BUENOS AIRES,LA PLATA,7,755,,, 1900,NO CONFIRMADO,,,,,
30500050558,BANK OF AMERICA NATIONAL ASSOCIATION,1960-02-25-00:00,SOCIEDAD ANONIMA,2024-02-22-13:40,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,DELLA PAOLERA CARLOS,265,19,, 1001,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,DELLA PAOLERA CARLOS,265,19,, 1001,DECLARADO,,,,,
30500050620,EVOLUCION SEGUROS S.A.,1948-05-22-12:00,SOCIEDAD ANONIMA,2024-03-02-07:06,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,AZOPARDO,1405,8,, 1107,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,AZOPARDO,1405,8,, 1107,DECLARADO POR INTERNET,,,,,
30500050795,ARGOS COMPAÑIA ARGENTINA DE SEGUROS GENERALES SOCIEDAD ANONIMA,1948-07-29-00:00,SOCIEDAD ANONIMA,2024-10-21-04:31,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ESMERALDA,288,06,, 1035,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ESMERALDA,288,6,, 1035,DECLARADO,,,,,
30500050930,ASSICURAZIONI GENERALI SOCIETA PER AZIONE,1901-01-01-00:00,SOCIEDAD EN COMANDITA POR ACCIONES,2024-07-28-11:01,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,572,,, 1003,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,572,,, 1003,NO CONFIRMADO,,,,,
30500051090,U T M A UNION TALLERES MECANICOS DE AUTOMOVILES SOC COOPERATIV,1948-07-16-00:00,SOCIEDAD ANONIMA,2024-02-22-13:42,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LAPRIDA,918,,, 1187,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LAPRIDA,918,,, 1187,NO CONFIRMADO,,,,,
30500051163,LA MERIDIONAL CIA ARG DE SEGUROS S A,1949-02-25-00:00,SOCIEDAD ANONIMA,2024-08-01-08:13,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,"PERON, JUAN TTE.GRAL.",646,01,, 1038,DECLARADO POR INTERNET,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PERON JUAN TTE.GRAL.,646,04,, 1038,CONFIRMADO,,,,,
30500051236,MERCOSUR COMPA#IA AMERICANA DE SEGUROS SOCIEDAD ANONIMA,1947-07-23-00:00,SOCIEDAD ANONIMA,2024-01-01-10:20,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ROCA JULIO A.PTE.AV.,751,02,, 1067,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ROCA JULIO A.PTE.AV.,751,02,, 1067,NO CONFIRMADO,,,,,
30500051309,ANTARTIDA COMPAÑIA ARGENTINA DE SEGUROS SOCIEDAD ANONIMA,1949-01-22-12:00,SOCIEDAD ANONIMA,2024-05-13-11:57,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,"O GORMAN, CAMILA",425,2,204, 1107,DECLARADO POR INTERNET,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MANSO JUANA,555,8,C, 1107,DECLARADO POR INTERNET,,,,,
30500051546,LIFE SEGUROS DE PERSONAS Y PATRIMONIALES S.A.,1949-11-03-12:00,SOCIEDAD ANONIMA,2024-07-11-12:39,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,"PERON, JUAN TTE.GRAL.",646,3,, 1038,DECLARADO POR INTERNET,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PERON JUAN TTE.GRAL.,646,3,, 1038,DECLARADO,,,,,
30500051619,LA TERCERA COMPA#IA DE SEGUROS GENERALES S A,1949-11-10-00:00,SOCIEDAD ANONIMA,2024-02-22-13:58,,CORDOBA,SAN FRANCISCO,BV. 25 DE MAYO,1276,,, 2400,DECLARADO,CORDOBA,SAN FRANCISCO,BV. 25 DE MAYO,1276,,, 2400,DECLARADO,,,,,
30500051783,INDIA CIA DE SEGUROS GENERALES  S A,1950-05-09-00:00,SOCIEDAD ANONIMA,2024-06-29-08:10,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SAENZ PEÑA R. PTE. AV.,730,,, 1035,NO NOTIFICADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,AV ROQUE S PE#A,730,,, 1035,NO CONFIRMADO,,,,,
30500051856,NATIVA COMPA#IA ARGENTINA DE SEGUROS S A,1901-01-01-00:00,SOCIEDAD ANONIMA,2024-09-25-14:55,,BUENOS AIRES,OLAVARRIA,RIVADAVIA,2983,,, 7400,DECLARADO POR INTERNET,BUENOS AIRES,OLAVARRIA,RIVADAVIA,2983,,, 7400,DECLARADO POR INTERNET,,,,,
30500051929,COPAN COOPERATIVA DE SEGUROS LIMITADA,1949-05-04-12:00,COOPERATIVA,2024-11-01-18:06,,BUENOS AIRES,LA PLATA NOROESTE DE LA CALLE 50,DIAGONAL 77,448,,, 1900,CONFIRMADO,BUENOS AIRES,LA PLATA,DIAGONAL 77,448,,, 1900,NO CONFIRMADO,,,,,
30500052089,HORIZONTE CIA ARG DE SEGUROS GENERALES S A,1951-05-08-12:00,SOCIEDAD ANONIMA,2024-11-02-04:58,,RIO NEGRO,VIEDMA,SAN MARTIN,442,0,0, 8500,CONFIRMADO,RIO NEGRO,VIEDMA,SAN MARTIN,442,0,0, 8500,DECLARADO POR INTERNET,,,,,
30500052151,TRADICION SEGUROS S.A.,1950-07-05-00:00,SOCIEDAD ANONIMA,2024-01-01-11:20,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,FITZ ROY,957,,, 1414,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,FITZ ROY,957,04,, 1414,DECLARADO,,,,,
30500052224,BERKLEY COMPA#IA METROPOLITANA DE SEGUROS SOCIEDAD ANONIMA,1949-06-13-00:00,SOCIEDAD ANONIMA,2024-01-01-10:57,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PELLEGRINI CARLOS,1023,01,, 1009,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PELLEGRINI CARLOS,1023,01,, 1009,NO CONFIRMADO,,,,,
30500052399,LA RECTORA CIA DE SEGUROS S A,1901-01-01-10:43,SOCIEDAD ANONIMA,2024-01-01-11:00,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORRIENTES AV.,848,,, 1043,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORRIENTES AV.,848,,, 1043,NO CONFIRMADO,,,,,
30500052607,CAPITAL COMPA#IA ARGENTINA DE SEGUROS GENERALES S A,1949-10-19-00:00,SOCIEDAD ANONIMA,2024-01-01-09:51,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,TUCUMAN,637,03,, 1049,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,TUCUMAN,637,03,, 1049,NO CONFIRMADO,,,,,
30500052844,COMPA#IA ADRIATICA DE SEGUROS RIUNIONE ADRIATICA DI SICURTA,1952-09-23-00:00,SOCIEDAD ANONIMA,2024-01-01-10:57,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SAENZ PEÑA R. PTE. AV.,555,,, 1035,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SAENZ PEÑA R. PTE. AV.,555,,, 1035,NO CONFIRMADO,,,,,
30500052917,ATLANTICA COMPA#IA AMERICANA DE SEGUROS S A,1952-06-05-00:00,SOCIEDAD ANONIMA,2024-01-01-09:51,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SAN MARTIN,536,04,, 1004,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SAN MARTIN,536,04,, 1004,NO CONFIRMADO,,,,,
30500053212,ARCADIA COMPA#IA ARGENTINA DE SEGUROS S A,1952-10-13-00:00,SOCIEDAD ANONIMA,2024-01-01-11:16,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,TUCUMAN,637,02,, 1049,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,TUCUMAN,637,02,, 1049,NO CONFIRMADO,,,,,
30500053697,COSECHA COOP DE SEGUROS LTDA,1901-01-01-00:00,COOPERATIVA,2024-02-22-13:58,,CHACO,PRESIDENCIA ROQUE SAENZ PEÑA,CARLOS PELLEGRINI,445,02,, 3700,NO NOTIFICADO,CHACO,PSDCIA.R.S.PE#A,CARLOS PELLEGRINI,445,02,, 3700,NO CONFIRMADO,,,,,
30500053832,COOPERACION GREMIAL COOPERATIVA DE SEGUROS LIMITADA,1954-05-10-00:00,COOPERATIVA,2022-05-30-14:53,,SANTA FE,ROSARIO NORTE,AV CORRIENTES,364,,, 2000,NO CONFIRMADO,SANTA FE,ROSARIO,AV CORRIENTES,364,,, 2000,NO CONFIRMADO,,,,,
30500054138,EL CENTINELA COOPERATIVA DE SEGUROS LIMITADA,1947-12-09-00:00,COOPERATIVA,2024-01-01-09:43,,BUENOS AIRES,TANDIL,GENERAL PINTO,558,,, 7000,INEXISTENTE - DESCONOCIDO,BUENOS AIRES,TANDIL,GENERAL PINTO,558,,, 7000,NO CONFIRMADO,,,,,
30500054200,SUIZO ARGENTINA COMPA#IA DE SEGUROS S A,1955-08-12-00:00,SOCIEDAD ANONIMA,2024-01-01-10:52,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SUIPACHA,664,04,, 1008,INEXISTENTE - DESCONOCIDO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SUIPACHA,664,04,, 1008,NO CONFIRMADO,,,,,
30500054448,FEDERACION AGRARIA ARGENTINA SOCIEDAD COOPERATIVA DE SEGUROS LTDA,1956-05-04-00:00,COOPERATIVA,2024-02-22-13:58,,SANTA FE,ROSARIO NORTE,SAN JUAN,1059,02,, 2000,NO NOTIFICADO,SANTA FE,ROSARIO,SAN JUAN,1059,2,, 2000,NO CONFIRMADO,,,,,
30500054758,PLUS ULTRA COMPA#IA ARGENTINA DE SEGUROS S A,1951-09-18-00:00,SOCIEDAD ANONIMA,2024-01-01-09:43,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SAENZ PEÑA R. PTE. AV.,555,,, 1035,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,AV PTE R SAENZ PE#A,555,,, 1035,NO CONFIRMADO,,,,,
30500054820,LIBERSERV COOPERATIVA DE PROVISION DE SERVICIOS LIMITADA,1901-01-01-12:00,COOPERATIVA,2024-10-23-16:05,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORRIENTES AV.,538,10,, 1043,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORRIENTES AV.,538,10,, 1043,NO CONFIRMADO,,,,,
30500055053,FIANZAS Y CREDITO S.A. COMPAÑIA DE SEGUROS,1949-11-24-00:00,SOCIEDAD ANONIMA,2024-01-01-09:29,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,BOUCHARD AV.,680,16,, 1106,DECLARADO POR INTERNET,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,BOUCHARD AV.,680,16,, 1106,DECLARADO,,,,,
30500055126,LA DEFENSA COMPA#IA ARGENTIAN DE SEGUROS GENERALES S A,1901-01-01-00:00,SOCIEDAD ANONIMA,2024-01-01-10:20,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,BALCARCE,216,,, 1064,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,BALCARCE,216,,, 1064,NO CONFIRMADO,,,,,
30500055363,SEGUROMETAL COOPERATIVA DE SEGUROS LTDA,1956-12-04-00:00,COOPERATIVA,2024-04-16-12:03,,SANTA FE,ROSARIO NORTE,ALVEAR,930,,, 2000,CONFIRMADO,SANTA FE,ROSARIO,ALVEAR,930,,, 2000,NO CONFIRMADO,,,,,
30500055436,AUXILIO FAMILIAR COOPERATIVA DE SEGUROS LTDA,1901-01-01-00:00,COOPERATIVA,2024-01-01-10:20,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LIBERTAD,359,05,D, 1012,INEXISTENTE - DESCONOCIDO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LIBERTAD,359,05,D, 1012,NO CONFIRMADO,,,,,
30500055509,INSTITUTO AUTARQUICO PROVINCIAL DEL SEGURO DE ENTRE RIOS,1949-12-21-00:00,SOCIEDAD DEL ESTADO,2024-11-01-12:15,,ENTRE RIOS,PARANA,SAN MARTIN,918,,, 3100,CONFIRMADO,ENTRE RIOS,PARANA,SAN MARTIN,918,,, 3100,DECLARADO POR INTERNET,,,,,
30500055673,PERGAMINO COOPERATIVA DE SEGUROS LIMITADA,1951-12-16-00:00,COOPERATIVA,2024-01-01-09:29,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SARMIENTO,1981,02,, 1044,INEXISTENTE - DESCONOCIDO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SARMIENTO,1981,02,, 1044,NO CONFIRMADO,,,,,
30500055746,ORIGENES SEGUROS S.A.,1959-12-09-12:00,SOCIEDAD ANONIMA,2024-05-15-20:33,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,"PERON, JUAN TTE.GRAL.",646,3,, 1038,DECLARADO POR INTERNET,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORRIENTES AV.,1174,5,, 1043,DECLARADO POR INTERNET,,,,,
30500055819,CUMBRE COOPERATIVA ARGENTINA DE SEGUROS LIMITADA,1959-03-25-00:00,COOPERATIVA,2024-01-01-11:00,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,YRIGOYEN HIPOLITO,4171,,, 1208,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,HIPOLITO YRIGOYEN,4171,,, 1208,NO CONFIRMADO,,,,,
30500055983,CIA ARGENTINA DE SEGUROS MINERVA S A EN LIQUIDACION,1960-04-05-00:00,SOCIEDAD ANONIMA,2024-02-22-13:47,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SUIPACHA,268,01,, 1008,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SUIPACHA,268,01,, 1008,NO CONFIRMADO,,,,,
30500056041,LIBERTAD COMPA#IA ARGENTINA DE SEGUROS SOCIEDAD ANONIMA,1960-06-30-00:00,SOCIEDAD ANONIMA,2024-01-01-11:20,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,TALCAHUANO,467,10,019, 1013,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,TALCAHUANO,467,10,019, 1013,NO CONFIRMADO,,,,,
30500056114,LA NACION CIA ARG DE SEGUROS SA,1959-12-04-00:00,SOCIEDAD ANONIMA,2024-01-01-10:57,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LAVALLE,1601,PB,, 1048,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LAVALLE,1601,PB,, 1048,NO CONFIRMADO,,,,,
30500056351,FIDES COMPAÑIA ARGENTINA DE SEGUROS S A,1962-08-03-00:00,SOCIEDAD ANONIMA,2024-01-01-11:20,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORRIENTES AV.,1386,09,, 1043,NO NOTIFICADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,AV CORRIENTES,1386,09,, 1361,NO CONFIRMADO,,,,,
30500056424,ASEGURADORA DE RIO NEGRO Y NEUQUEN S A,1959-09-09-00:00,SOCIEDAD ANONIMA,2022-05-30-14:53,,RIO NEGRO,CIPOLLETTI,AVDA ALEM,503,,, 8324,INEXISTENTE - DESCONOCIDO,RIO NEGRO,CIPOLLETTI,AVDA ALEM,503,,, 8324,NO CONFIRMADO,,,,,
30500056599,ANCORA COMPA#IA ARGENTINA DE SEGUROS S A,1960-08-25-00:00,SOCIEDAD ANONIMA,2024-01-01-11:00,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,YRIGOYEN HIPOLITO,426,01,, 1086,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,YRIGOYEN HIPOLITO,426,01,, 1086,NO CONFIRMADO,,,,,
30500056661,ORBIS COMPAÑIA ARGENTINA DE SEGUROS SA,1959-04-14-12:00,SOCIEDAD ANONIMA,2024-10-20-08:25,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,BOEDO AV.,119,,, 1206,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,BOEDO AV.,119,,, 1206,NO CONFIRMADO,,,,,
30500056734,CENIT SEGUROS S A,1960-02-02-00:00,SOCIEDAD ANONIMA,2024-01-01-10:57,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MAIPU,275,00,, 1084,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MAIPU,275,00,, 1084,NO CONFIRMADO,,,1,AC,S
30500056807,ASTRO  COOPERATIVA DE VIVIENDA CREDITO CONSUMO Y SERVICIOS MULTIPLES LIMITADA,1960-12-20-00:00,COOPERATIVA,2024-01-01-09:51,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,25 DE MAYO,432,,, 1002,DECLARADO POR INTERNET,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORRIENTES AV.,3165,PB,, 1193,NO CONFIRMADO, 662090,Servicios auxiliares a los servicios de seguros n.c.p.,1,AC,S
30500056971,PREVISION Y AYUDA MUTUA SCSL,1960-08-20-00:00,COOPERATIVA,2023-01-30-08:32,,SANTA FE,ROSARIO SUD,DORREGO,1955,,, 2000,NO NOTIFICADO,SANTA FE,ROSARIO,DORREGO,1955,,, 2000,NO CONFIRMADO,,,1,AC,S
30500057102,PARANA SOCIEDAD ANONIMA DE SEGUROS,1961-02-08-00:00,SOCIEDAD ANONIMA,2024-10-01-07:25,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PERON JUAN TTE.GRAL.,690,,, 1038,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MAIPU,215,6,, 1084,CONFIRMADO, 651220,Servicios de seguros patrimoniales excepto los de las aseguradoras de riesgo de trabajo (ART),1,AC,S
30500057277,SEGURCOOP COOPERATIVA DE SEGUROS LIMITADA,1901-01-01-00:00,COOPERATIVA,2024-07-01-03:31,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ALSINA ADOLFO,633,3º,-, 1087,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ALSINA ADOLFO,633,3º,-, 1087,DECLARADO POR INTERNET, 651120,"Servicios de seguros de vida (Incluye los seguros de vida, retiro y sepelio)",3,AC,S
30500057587,HAMBURGO COMPA#IA DE SEGUROS S A,1961-01-09-00:00,SOCIEDAD ANONIMA,2024-09-16-04:31,,SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,INDEPENDENCIA,56,,, 4200,CONFIRMADO,SANTIAGO DEL ESTERO,STGO.DEL ESTERO,INDEPENDENCIA,56,,, 4200,CONFIRMADO, 649999,Servicios de financiación y actividades financieras n.c.p. (Incluye actividades de inversión en acci,7,AC,S
30500057722,CONGRESO CIA ARGENTINA DE SEGUROS SA,1958-03-04-00:00,SOCIEDAD ANONIMA,2024-01-01-11:16,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,VIAMONTE,1133,03,, 1053,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,VIAMONTE,1133,03,, 1053,NO CONFIRMADO,,,1,AC,S
30500058192,BRUJULA COMPA#IA ARGENTINA DE SEGUROS S A,1961-06-30-00:00,SOCIEDAD ANONIMA,2024-01-01-11:16,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SAN MARTIN,439,06,, 1359,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SAN MARTIN,439,06,, 1359,NO CONFIRMADO,,,1,AC,S
30500058265,PREVISION DEL HOGAR SOCIEDAD COOPERATIVA DE SEGUROS LIMITADA,1960-10-15-00:00,COOPERATIVA,2024-01-01-09:43,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,FLORIDA,253,01,, 1005,NO NOTIFICADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,FLORIDA,253,01,, 1349,NO CONFIRMADO,,,1,AC,S
30500058338,B R B SEGUROS SOCIEDAD ANONIMA,1964-05-21-00:00,SOCIEDAD ANONIMA,2024-01-01-09:43,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SARMIENTO,459,05,, 1041,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SARMIENTO,459,05,, 1041,NO CONFIRMADO, 651220,Servicios de seguros patrimoniales excepto los de las aseguradoras de riesgo de trabajo (ART),1,AC,S
30500058400,LA CONFIANZA CIA ARGENTINA DE SEGUROS S A,1982-12-03-00:00,SOCIEDAD ANONIMA,2024-01-01-10:52,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PASEO COLON AV.,528,PB,, 1063,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PASEO COLON AV.,528,PB,, 1063,NO CONFIRMADO,,,1,AC,S
30500058710,LUCERO CIA ARGENTINA DE SEGUROS  SA,1961-05-08-00:00,SOCIEDAD ANONIMA,2024-02-22-13:43,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MONTEVIDEO,595,04,C, 1019,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MONTEVIDEO,595,04,C, 1019,NO CONFIRMADO,,,1,AC,S
30500058885,CIA ARGENTINA DE SEGUROS ANTA S A,1901-01-01-00:00,SOCIEDAD ANONIMA,2024-01-01-09:43,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MORENO,794,3,, 1091,INEXISTENTE - DESCONOCIDO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,BELGRANO AV.,839,,, 1092,DECLARADO,,,1,AC,S
30500058958,LA INDUSTRIAL COOPERATIVA DE       SEGUROS LTDA,1901-01-01-00:00,COOPERATIVA,2024-01-01-09:43,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,GAONA AV.,3737,,, 1416,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,GAONA AV.,3737,,, 1416,NO CONFIRMADO,,,1,AC,S
30500059016,LA URUGUAYA ARGENTINA COMPAÑIA DE SEGUROS SOCIEDAD ANONIMA,1961-05-16-00:00,SOCIEDAD ANONIMA,2024-01-01-10:20,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORRIENTES AV.,538,01,, 1043,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORRIENTES,538,01,, 1043,CONFIRMADO,,,1,AC,S
30500059180,PRODUCTORES DE FRUTAS ARGENTINAS COOPERATIVA  DE SEGUROS LIMITADA,1961-10-10-12:00,COOPERATIVA,2024-07-01-17:36,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,JUNCAL,1126,PB,, 1062,DECLARADO POR INTERNET,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,JUNCAL,1126,PB,, 1062,DECLARADO POR INTERNET, 864000,Servicios de emergencias y traslados,1,BD,S
30500059253,FORTALEZA COOPERATIVA DE SEGUROS LTDA,1960-07-28-00:00,ASOCIACION CIVIL,2024-02-22-13:58,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ALSINA ADOLFO,1290,03,, 1088,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ALSINA ADOLFO,1290,03,, 1088,NO CONFIRMADO,,,1,AC,S
30500059326,FLORENCIA CIA ARG DE SEGUROS GENERALES S A,1961-04-14-00:00,SOCIEDAD ANONIMA,2024-01-01-10:20,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MITRE BARTOLOME,739,05,, 1036,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,BARTOLOME MITRE,739,05,, 1036,NO CONFIRMADO,,,1,AC,S
